# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap2tQ_timing_secs
Wed May 17 15:32:36 EDT 2017, 0.800, 5, 3, 0.210, 9, 2, 31, 303, 73, 1, 27, 27, 1.983, 2.827
Wed May 17 15:33:09 EDT 2017, 0.550, 3, 1, 0.960, 7, 8, 54, 528, 50, 6, 14, 50, 32.493, 25.850
Wed May 17 15:34:28 EDT 2017, 0.050, 8, 6, 0.460, 2, 4, 99, 378, 95, 15, 39, 95, 78.220, 63.810
Wed May 17 15:34:34 EDT 2017, 0.040, 1, 4, 0.850, 9, 7, 33, 495, 52, 2, 25, 31, 3.610, 5.293
Wed May 17 15:35:11 EDT 2017, 0.540, 5, 8, 0.350, 5, 2, 78, 345, 97, 11, 0, 76, 33.083, 36.710
Wed May 17 15:35:47 EDT 2017, 0.790, 3, 6, 0.600, 3, 9, 55, 570, 29, 16, 37, 99, 34.930, 31.567
Wed May 17 15:36:26 EDT 2017, 0.290, 7, 2, 0.100, 7, 5, 10, 420, 74, 7, 12, 54, 38.637, 31.977
Wed May 17 15:36:44 EDT 2017, 0.410, 4, 7, 0.980, 1, 3, 44, 307, 40, 19, 43, 65, 17.830, 15.283
Wed May 17 15:37:00 EDT 2017, 0.910, 8, 3, 0.480, 6, 8, 89, 457, 85, 9, 18, 20, 15.647, 13.967
Wed May 17 15:37:06 EDT 2017, 0.660, 2, 1, 0.730, 8, 1, 67, 382, 18, 4, 31, 43, 5.090, 4.430
Wed May 17 15:38:13 EDT 2017, 0.160, 6, 5, 0.230, 4, 6, 22, 532, 63, 14, 6, 88, 66.350, 57.837
Wed May 17 15:38:21 EDT 2017, 0.220, 3, 2, 0.410, 4, 5, 38, 401, 35, 1, 9, 93, 5.857, 8.080
Wed May 17 15:38:51 EDT 2017, 0.720, 8, 7, 0.910, 9, 1, 83, 551, 80, 10, 34, 48, 27.440, 29.830
Wed May 17 15:38:53 EDT 2017, 0.970, 1, 9, 0.160, 7, 7, 61, 326, 12, 15, 21, 26, 1.497, 1.593
Wed May 17 15:39:20 EDT 2017, 0.470, 6, 4, 0.660, 2, 3, 16, 476, 57, 6, 46, 71, 23.680, 26.427
Wed May 17 15:39:42 EDT 2017, 0.350, 2, 6, 0.290, 5, 4, 50, 589, 46, 17, 15, 37, 21.913, 19.080
Wed May 17 15:42:02 EDT 2017, 0.850, 7, 1, 0.790, 1, 8, 95, 439, 91, 8, 40, 82, 138.980, 120.923
Wed May 17 15:42:10 EDT 2017, 0.600, 5, 3, 0.040, 3, 2, 72, 514, 24, 3, 3, 59, 5.570, 7.220
Wed May 17 15:42:15 EDT 2017, 0.100, 9, 8, 0.540, 8, 6, 27, 364, 69, 13, 28, 14, 5.140, 5.337
Wed May 17 15:43:00 EDT 2017, 0.070, 5, 7, 0.700, 7, 9, 81, 448, 71, 10, 45, 90, 37.993, 43.477
Wed May 17 15:43:39 EDT 2017, 0.570, 9, 2, 0.200, 2, 4, 36, 598, 26, 19, 20, 45, 38.010, 22.267
Wed May 17 15:43:55 EDT 2017, 0.820, 3, 5, 0.950, 5, 6, 13, 373, 94, 14, 32, 23, 16.813, 15.190
Wed May 17 15:44:11 EDT 2017, 0.320, 7, 9, 0.450, 9, 2, 58, 523, 49, 5, 7, 68, 10.410, 15.210
Wed May 17 15:45:04 EDT 2017, 0.440, 1, 1, 0.570, 3, 1, 92, 560, 60, 12, 26, 34, 51.507, 33.060
Wed May 17 15:45:07 EDT 2017, 0.940, 6, 6, 0.070, 8, 5, 47, 410, 15, 3, 1, 79, 2.520, 3.450
Wed May 17 15:45:35 EDT 2017, 0.690, 4, 8, 0.820, 6, 3, 24, 485, 83, 7, 39, 57, 19.693, 26.400
Wed May 17 15:45:40 EDT 2017, 0.190, 8, 4, 0.320, 1, 8, 69, 335, 38, 17, 14, 12, 4.720, 3.667
Wed May 17 15:45:48 EDT 2017, 0.130, 2, 9, 0.010, 2, 8, 86, 467, 55, 8, 17, 29, 6.397, 8.060
Wed May 17 15:45:55 EDT 2017, 0.630, 6, 4, 0.510, 6, 4, 41, 317, 10, 18, 42, 74, 7.087, 5.437
Wed May 17 15:54:51 EDT 2017, 0.880, 4, 2, 0.260, 9, 6, 19, 542, 77, 13, 4, 96, 249.457, 413.667
Wed May 17 15:54:57 EDT 2017, 0.380, 9, 6, 0.760, 4, 1, 64, 392, 32, 4, 29, 51, 4.147, 5.790
Wed May 17 15:55:32 EDT 2017, 0.260, 3, 3, 0.130, 7, 3, 98, 354, 66, 11, 10, 62, 34.767, 28.607
Wed May 17 15:55:33 EDT 2017, 0.760, 8, 8, 0.630, 3, 7, 53, 504, 21, 1, 35, 17, 0.393, 0.570
Wed May 17 15:55:52 EDT 2017, 0.510, 1, 5, 0.380, 1, 5, 30, 429, 88, 6, 23, 40, 15.363, 18.343
Wed May 17 16:07:07 EDT 2017, 0.010, 5, 1, 0.880, 5, 9, 75, 579, 43, 16, 48, 85, 286.120, 620.343
Wed May 17 16:08:10 EDT 2017, 0.010, 5, 3, 0.430, 1, 6, 18, 531, 46, 16, 27, 74, 62.333, 44.033
Wed May 17 16:08:22 EDT 2017, 0.510, 9, 8, 0.930, 6, 2, 63, 381, 91, 7, 2, 29, 8.690, 11.160
Wed May 17 16:08:25 EDT 2017, 0.760, 2, 5, 0.180, 8, 9, 85, 456, 24, 2, 39, 51, 2.247, 3.207
Wed May 17 16:10:22 EDT 2017, 0.260, 7, 1, 0.680, 3, 4, 40, 306, 69, 11, 14, 96, 111.453, 81.727
Wed May 17 16:10:24 EDT 2017, 0.380, 1, 9, 0.310, 9, 3, 29, 419, 35, 4, 45, 18, 1.417, 1.920
Wed May 17 16:11:43 EDT 2017, 0.880, 6, 4, 0.810, 4, 7, 74, 569, 80, 14, 20, 63, 78.027, 60.197
Wed May 17 16:12:03 EDT 2017, 0.630, 3, 2, 0.060, 2, 1, 96, 344, 13, 19, 33, 85, 19.510, 11.807
Wed May 17 16:12:19 EDT 2017, 0.130, 8, 6, 0.560, 7, 5, 51, 494, 58, 9, 8, 40, 15.080, 16.197
Wed May 17 16:12:58 EDT 2017, 0.200, 2, 1, 0.750, 6, 6, 12, 362, 41, 15, 11, 46, 38.197, 22.987
Wed May 17 16:13:43 EDT 2017, 0.700, 6, 6, 0.250, 2, 1, 57, 512, 86, 5, 36, 91, 32.523, 43.623
Wed May 17 16:13:45 EDT 2017, 0.950, 4, 8, 0.500, 4, 8, 80, 437, 18, 1, 24, 68, 1.100, 1.503
Wed May 17 16:14:01 EDT 2017, 0.450, 9, 4, 0.000, 8, 3, 35, 587, 63, 10, 49, 23, 15.600, 14.470
Wed May 17 16:14:15 EDT 2017, 0.320, 3, 7, 0.870, 5, 5, 23, 475, 52, 3, 17, 80, 9.227, 13.853
Wed May 17 16:15:00 EDT 2017, 0.820, 7, 2, 0.370, 9, 9, 68, 325, 97, 13, 42, 35, 44.380, 28.837
Wed May 17 16:15:05 EDT 2017, 0.570, 1, 5, 0.620, 7, 2, 91, 550, 30, 17, 5, 12, 4.690, 3.827
Wed May 17 16:15:25 EDT 2017, 0.070, 5, 9, 0.120, 3, 7, 46, 400, 75, 8, 30, 57, 15.327, 19.360
Wed May 17 16:15:45 EDT 2017, 0.100, 1, 6, 0.090, 3, 9, 66, 334, 66, 14, 44, 49, 20.457, 19.380
Wed May 17 16:16:01 EDT 2017, 0.600, 5, 2, 0.590, 7, 5, 21, 484, 21, 5, 19, 94, 15.080, 14.580
Wed May 17 16:16:52 EDT 2017, 0.850, 3, 4, 0.340, 5, 7, 43, 409, 89, 10, 31, 71, 50.583, 45.927
Wed May 17 16:17:05 EDT 2017, 0.350, 8, 8, 0.840, 1, 3, 88, 559, 44, 19, 6, 26, 12.207, 11.247
