# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Mon Jan  9 16:02:06 EST 2017, 3594, 0.440, 8, 0.420, 429, 16, 15, 30, 96, 37.683, 35.160
Mon Jan  9 16:02:21 EST 2017, 8544, 0.940, 3, 0.920, 579, 61, 6, 5, 51, 14.597, 12.617
Mon Jan  9 16:02:25 EST 2017, 6069, 0.190, 1, 0.170, 504, 39, 1, 42, 73, 3.483, 3.820
Mon Jan  9 16:02:46 EST 2017, 1119, 0.690, 5, 0.670, 354, 84, 10, 17, 28, 20.403, 18.893
Mon Jan  9 16:02:55 EST 2017, 810, 0.220, 9, 0.580, 401, 64, 10, 3, 26, 8.690, 7.473
Mon Jan  9 16:03:41 EST 2017, 5760, 0.720, 4, 0.080, 551, 19, 19, 28, 71, 45.477, 41.837
Mon Jan  9 16:04:35 EST 2017, 8235, 0.470, 2, 0.830, 476, 86, 15, 16, 48, 52.463, 48.513
Mon Jan  9 16:05:06 EST 2017, 3285, 0.970, 6, 0.330, 326, 41, 5, 41, 93, 30.020, 30.440
Mon Jan  9 16:05:15 EST 2017, 4523, 0.350, 3, 0.700, 514, 53, 7, 34, 14, 8.800, 8.580
Mon Jan  9 16:06:37 EST 2017, 9473, 0.850, 7, 0.200, 364, 98, 17, 9, 59, 81.317, 61.997
Mon Jan  9 16:07:07 EST 2017, 6998, 0.100, 5, 0.950, 439, 30, 12, 47, 37, 29.393, 28.373
Mon Jan  9 16:07:28 EST 2017, 2048, 0.600, 1, 0.450, 589, 75, 3, 22, 82, 17.127, 19.963
Mon Jan  9 16:08:02 EST 2017, 1429, 0.410, 7, 0.140, 532, 70, 9, 44, 20, 33.707, 32.913
Mon Jan  9 16:08:24 EST 2017, 6379, 0.910, 2, 0.640, 382, 25, 18, 19, 65, 20.960, 18.660
Mon Jan  9 16:09:24 EST 2017, 8854, 0.160, 5, 0.390, 307, 92, 13, 31, 43, 60.607, 55.480
Mon Jan  9 16:09:39 EST 2017, 3904, 0.660, 9, 0.890, 457, 47, 4, 6, 88, 13.940, 12.790
Mon Jan  9 16:09:41 EST 2017, 2666, 0.040, 1, 0.020, 345, 36, 6, 12, 31, 2.447, 2.477
Mon Jan  9 16:13:30 EST 2017, 7616, 0.540, 6, 0.520, 495, 81, 16, 37, 76, 219.457, 201.703
Mon Jan  9 16:13:35 EST 2017, 5141, 0.290, 8, 0.270, 570, 13, 11, 0, 54, 4.540, 3.307
Mon Jan  9 16:13:53 EST 2017, 191, 0.790, 3, 0.770, 420, 58, 2, 25, 99, 15.203, 17.413
