# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sun Jul  2 11:38:29 EDT 2017, 0.230, 152, 26, 4, 18, 416, 4, 36, 1, 47, 10.437, 9.010
Sun Jul  2 11:38:32 EDT 2017, 0.170, 129, 21, 2, 14, 435, 7, 19, 26, 20, 2.520, 2.397
Sun Jul  2 11:42:05 EDT 2017, 0.670, 149, 26, 6, 25, 585, 17, 39, 11, 40, 212.500, 161.140
Sun Jul  2 11:42:26 EDT 2017, 0.920, 139, 28, 4, 19, 360, 12, 29, 18, 30, 21.023, 17.147
Sun Jul  2 11:42:26 EDT 2017, 0.420, 159, 23, 8, 8, 510, 2, 49, 3, 10, 0.457, 0.537
Sun Jul  2 11:42:58 EDT 2017, 0.290, 134, 27, 3, 22, 472, 9, 34, 29, 35, 31.503, 26.363
Sun Jul  2 11:43:01 EDT 2017, 0.790, 154, 22, 7, 11, 322, 19, 14, 14, 15, 2.687, 2.583
Sun Jul  2 11:44:28 EDT 2017, 0.540, 124, 24, 5, 17, 547, 14, 44, 22, 25, 86.640, 68.173
Sun Jul  2 11:44:34 EDT 2017, 0.040, 144, 29, 9, 28, 397, 5, 24, 7, 45, 5.593, 5.113
Sun Jul  2 11:44:53 EDT 2017, 0.060, 132, 20, 4, 11, 524, 10, 39, 20, 18, 19.030, 15.810
Sun Jul  2 11:44:53 EDT 2017, 0.560, 152, 25, 8, 22, 374, 1, 19, 5, 38, 0.293, 0.340
Sun Jul  2 11:46:17 EDT 2017, 0.810, 122, 27, 2, 27, 599, 6, 49, 28, 48, 83.227, 64.960
Sun Jul  2 11:46:56 EDT 2017, 0.310, 142, 22, 6, 16, 449, 15, 29, 13, 28, 38.927, 30.743
Sun Jul  2 11:47:11 EDT 2017, 0.430, 127, 26, 5, 25, 411, 13, 14, 17, 43, 15.290, 12.707
Sun Jul  2 11:47:14 EDT 2017, 0.930, 147, 21, 9, 14, 561, 3, 34, 2, 23, 2.017, 2.163
Sun Jul  2 11:47:15 EDT 2017, 0.680, 137, 24, 3, 8, 336, 8, 24, 24, 13, 1.443, 1.447
Sun Jul  2 11:49:23 EDT 2017, 0.180, 157, 29, 7, 19, 486, 17, 44, 9, 33, 128.063, 97.403
Sun Jul  2 11:49:28 EDT 2017, 0.240, 120, 23, 9, 23, 467, 12, 22, 15, 15, 4.773, 4.547
Sun Jul  2 11:49:30 EDT 2017, 0.740, 140, 28, 5, 12, 317, 2, 42, 0, 35, 1.767, 1.763
Sun Jul  2 11:49:35 EDT 2017, 0.990, 130, 26, 7, 18, 542, 7, 12, 22, 45, 4.423, 4.243
Sun Jul  2 11:50:15 EDT 2017, 0.490, 150, 21, 3, 29, 392, 16, 32, 7, 25, 40.450, 31.223
Sun Jul  2 11:52:52 EDT 2017, 0.370, 135, 29, 8, 15, 430, 14, 47, 19, 40, 156.687, 117.240
Sun Jul  2 11:52:55 EDT 2017, 0.870, 155, 24, 4, 26, 580, 4, 27, 4, 20, 1.683, 2.027
Sun Jul  2 11:52:57 EDT 2017, 0.620, 125, 22, 6, 20, 355, 9, 37, 26, 10, 2.680, 2.640
Sun Jul  2 11:53:23 EDT 2017, 0.120, 145, 27, 2, 9, 505, 19, 17, 11, 30, 25.447, 21.163
Sun Jul  2 11:53:23 EDT 2017, 0.090, 126, 28, 3, 17, 570, 1, 25, 14, 24, 0.410, 0.413
Sun Jul  2 11:55:15 EDT 2017, 0.590, 146, 23, 7, 28, 420, 11, 45, 29, 44, 110.903, 84.337
Sun Jul  2 11:55:37 EDT 2017, 0.840, 136, 20, 5, 22, 495, 16, 15, 6, 34, 22.057, 18.260
Sun Jul  2 11:55:38 EDT 2017, 0.340, 156, 25, 9, 11, 345, 6, 35, 21, 14, 1.583, 1.613
Sun Jul  2 11:55:47 EDT 2017, 0.460, 131, 24, 2, 20, 308, 4, 40, 10, 39, 8.533, 7.253
Sun Jul  2 11:55:52 EDT 2017, 0.960, 151, 29, 6, 9, 458, 13, 20, 25, 19, 5.043, 4.747
Sun Jul  2 11:56:53 EDT 2017, 0.710, 121, 26, 4, 14, 383, 18, 30, 3, 29, 60.870, 46.920
