# runtime_mean for different queues & configs manually aggregated,,,,,,,,,,,,,,,,,,,,,
# phold,param,param,param,heap,heap,heap,2tHeap,2tHeap,2tHeap,fibHeap,fibHeap,fibHeap,3tHeap,3tHeap,3tHeap,2tLadderQ,2tLadderQ,2tLadderQ,ladderQ,ladderQ,ladderQ
#config,--delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci
ph5,5,0.25,2,34.255,33.4779,35.0321,36.365,35.8353,36.8947,53.971,51.2995,56.6425,40.937,40.267,41.607,35.059,34.641,35.477,35.302,34.8561,35.7479
ph5,10,0.25,2,35.945,35.5896,36.3004,37.727,37.2364,38.2176,61.874,56.8567,66.8913,41.219,40.037,42.401,35.358,34.6506,36.0654,34.711,33.2801,36.1419
ph5,1,0,5,40.875,39.9205,41.8295,38.868,38.3164,39.4196,60.582,58.5851,62.5789,43.079,42.4038,43.7542,40.273,39.2557,41.2903,44.705,40.0563,49.3537
ph5,2,0,5,55.357,53.6806,57.0334,49.3,48.4151,50.1849,73.999,71.5772,76.4208,53.17,52.2151,54.1249,54.594,52.3412,56.8468,56.305,54.5223,58.0877
ph5,5,0,5,68.895,67.1918,70.5982,57.459,55.4812,59.4368,87.978,84.0255,91.9305,60.474,57.9808,62.9672,67.155,64.9765,69.3335,71.546,66.2498,76.8422
ph5,10,0,5,71.021,69.9697,72.0723,64.611,59.6686,69.5534,94.096,89.0439,99.1481,57.183,55.0029,59.3631,67.501,65.1042,69.8978,65.261,61.5342,68.9878
ph5,1,0.25,5,41.108,40.1601,42.0559,38.263,36.9123,39.6137,57.514,56.2862,58.7418,44.125,42.2802,45.9698,39.476,37.8527,41.0993,41.319,40.0715,42.5665
ph5,2,0.25,5,56.45,55.2373,57.6627,49.868,49.2113,50.5247,70.917,68.8388,72.9952,52.74,51.947,53.533,55.398,54.2809,56.5151,58.035,56.2403,59.8297
ph5,5,0.25,5,70.575,68.6804,72.4696,58.836,56.5542,61.1178,89.755,89.1901,90.3199,61.357,59.4918,63.2222,70.378,69.5161,71.2399,71.714,69.5494,73.8786
ph5,10,0.25,5,71.518,68.7827,74.2533,61.103,58.6139,63.5921,88.166,85.5908,90.7412,61.669,60.0285,63.3095,65.107,63.0912,67.1228,69.532,68.3284,70.7356
ph5,1,0,10,70.655,69.1434,72.1666,62.607,59.487,65.727,89.021,85.0174,93.0246,64.018,62.0847,65.9513,70.051,68.212,71.89,72.107,69.8233,74.3907
ph5,2,0,10,105.59,100.494,110.686,79.872,75.6698,84.0742,109.41,105.562,113.258,82.69,79.974,85.406,99.301,96.9618,101.64,102.399,98.7923,106.006
ph5,5,0,10,139.763,134.174,145.352,99.472,94.6664,104.278,125.255,120.094,130.416,88.605,83.1954,94.0146,131.227,127.447,135.007,128.346,123.587,133.105
ph5,10,0,10,140.67,136.245,145.095,96.857,93.6419,100.072,128.004,122.655,133.353,90.57,87.6925,93.4475,121.703,117.206,126.2,120.068,117.014,123.122
ph5,1,0.25,10,71.325,69.6267,73.0233,62.634,61.4101,63.8579,85.554,82.1932,88.9148,68.199,66.0935,70.3045,68.974,66.5513,71.3967,71.891,69.6082,74.1738
ph5,2,0.25,10,104.23,98.7766,109.683,81.439,81.0302,81.8478,99.56,94.2685,104.852,80.101,77.6894,82.5126,97.182,93.2704,101.094,101.105,97.1171,105.093
ph5,5,0.25,10,136.443,132.696,140.19,91.527,87.7084,95.3456,129.091,124.872,133.31,91.302,87.451,95.153,133.745,128.3,139.19,132.33,127.302,137.358
ph5,10,0.25,10,138.258,133.73,142.786,92.655,90.4918,94.8182,133.259,129.082,137.436,88.6,83.4069,93.7931,121.751,120.395,123.107,124.797,119.841,129.753
ph5,1,0,15,100.696,97.2733,104.119,78.248,75.5282,80.9678,106.321,103.243,109.399,92.605,88.1408,97.0692,97.973,94.6189,101.327,101.872,98.8797,104.864
ph5,2,0,15,159.981,157.398,162.564,100.383,95.7235,105.042,131.225,128.087,134.363,100.716,97.3905,104.041,144.407,139.722,149.092,150.008,145.807,154.209
