# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', heap_timing_secs, binomHeap_timing_secs
Sun Apr 30 10:48:29 EDT 2017, 8080, 0.800, 337, 1, 0.070, 429, 58, 9, 8, 71, 16.007, 22.540
Sun Apr 30 10:54:21 EDT 2017, 5605, 0.050, 2837, 8, 0.320, 504, 80, 13, 45, 93, 302.270, 346.003
Sun Apr 30 10:54:28 EDT 2017, 655, 0.550, 7837, 3, 0.820, 354, 35, 4, 20, 48, 5.890, 7.247
Sun Apr 30 11:01:43 EDT 2017, 501, 0.250, 2368, 9, 0.110, 528, 96, 16, 44, 75, 376.100, 425.377
Sun Apr 30 11:01:55 EDT 2017, 5451, 0.750, 7368, 5, 0.610, 378, 51, 6, 19, 30, 9.837, 12.450
Sun Apr 30 11:02:28 EDT 2017, 7926, 0.000, 9868, 7, 0.860, 453, 28, 11, 32, 52, 29.500, 32.860
Sun Apr 30 11:02:35 EDT 2017, 2976, 0.500, 4868, 3, 0.360, 303, 73, 1, 7, 97, 4.953, 6.667
Sun Apr 30 11:03:23 EDT 2017, 4213, 0.130, 6118, 8, 0.990, 340, 85, 8, 38, 41, 44.477, 46.753
Sun Apr 30 11:05:00 EDT 2017, 9163, 0.630, 1119, 4, 0.490, 490, 40, 18, 13, 86, 76.553, 96.567
Sun Apr 30 11:05:09 EDT 2017, 6688, 0.380, 3618, 6, 0.240, 415, 17, 4, 26, 64, 6.440, 8.003
Sun Apr 30 11:05:21 EDT 2017, 1738, 0.880, 8618, 2, 0.740, 565, 62, 13, 1, 19, 6.953, 11.483
Sun Apr 30 11:06:55 EDT 2017, 2357, 0.070, 4243, 3, 0.550, 584, 90, 5, 41, 69, 78.043, 91.413
Sun Apr 30 11:07:20 EDT 2017, 7307, 0.570, 9243, 8, 0.050, 434, 45, 14, 16, 24, 18.810, 24.033
Sun Apr 30 11:07:31 EDT 2017, 9782, 0.320, 6743, 1, 0.300, 509, 23, 10, 29, 47, 8.897, 11.093
Sun Apr 30 11:09:14 EDT 2017, 4832, 0.820, 1743, 5, 0.800, 359, 68, 19, 4, 92, 82.170, 98.170
Sun Apr 30 11:10:18 EDT 2017, 3594, 0.440, 7993, 4, 0.430, 322, 79, 12, 48, 35, 56.433, 63.663
Sun Apr 30 11:10:29 EDT 2017, 8544, 0.940, 2993, 9, 0.930, 472, 34, 2, 23, 80, 9.010, 10.603
Sun Apr 30 11:10:43 EDT 2017, 6069, 0.190, 494, 2, 0.680, 397, 11, 17, 35, 58, 11.953, 14.327
Sun Apr 30 11:10:51 EDT 2017, 1119, 0.690, 5493, 7, 0.180, 547, 56, 7, 10, 13, 5.697, 7.930
Sun Apr 30 11:11:05 EDT 2017, 810, 0.220, 8930, 6, 0.330, 481, 54, 2, 8, 83, 10.247, 13.500
Sun Apr 30 11:11:37 EDT 2017, 5760, 0.720, 3931, 1, 0.830, 331, 99, 11, 33, 38, 25.537, 30.853
Sun Apr 30 11:11:55 EDT 2017, 8235, 0.470, 1431, 8, 0.580, 556, 76, 7, 21, 16, 14.550, 17.990
Sun Apr 30 11:13:07 EDT 2017, 3285, 0.970, 6431, 4, 0.080, 406, 31, 16, 46, 61, 61.787, 70.737
Sun Apr 30 11:13:21 EDT 2017, 4523, 0.350, 2681, 7, 0.710, 443, 42, 14, 2, 27, 9.087, 14.290
Sun Apr 30 11:14:15 EDT 2017, 9473, 0.850, 7680, 2, 0.210, 593, 87, 4, 27, 72, 41.037, 52.437
Sun Apr 30 11:17:11 EDT 2017, 6998, 0.100, 5181, 9, 0.460, 368, 65, 18, 15, 95, 141.837, 171.730
Sun Apr 30 11:17:33 EDT 2017, 2048, 0.600, 181, 5, 0.960, 518, 20, 9, 40, 50, 20.567, 22.147
Sun Apr 30 11:18:28 EDT 2017, 1429, 0.410, 7055, 2, 0.770, 500, 48, 17, 5, 78, 41.593, 53.680
Sun Apr 30 11:19:11 EDT 2017, 6379, 0.910, 2056, 6, 0.270, 350, 93, 8, 30, 33, 35.153, 42.867
