# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sun Jul  2 11:31:40 EDT 2017, 0.800, 132, 25, 3, 8, 467, 19, 32, 13, 24, 62.407, 47.967
Sun Jul  2 11:31:45 EDT 2017, 0.300, 152, 20, 7, 19, 317, 9, 12, 28, 44, 4.363, 4.077
Sun Jul  2 11:31:45 EDT 2017, 0.430, 137, 29, 4, 11, 355, 2, 27, 1, 29, 0.713, 0.807
Sun Jul  2 11:34:28 EDT 2017, 0.930, 157, 24, 8, 22, 505, 11, 47, 16, 49, 161.877, 119.787
Sun Jul  2 11:35:04 EDT 2017, 0.680, 127, 22, 2, 27, 430, 16, 17, 9, 39, 36.327, 27.903
Sun Jul  2 11:35:11 EDT 2017, 0.180, 147, 27, 6, 16, 580, 7, 37, 24, 19, 6.947, 6.337
Sun Jul  2 11:35:13 EDT 2017, 0.240, 130, 20, 8, 15, 598, 3, 15, 3, 32, 1.177, 1.190
Sun Jul  2 11:35:20 EDT 2017, 0.740, 150, 25, 4, 26, 448, 13, 35, 18, 12, 7.360, 6.590
Sun Jul  2 11:35:47 EDT 2017, 0.990, 120, 27, 6, 20, 523, 17, 25, 11, 22, 27.057, 22.697
Sun Jul  2 11:36:47 EDT 2017, 0.490, 140, 22, 2, 9, 373, 8, 45, 26, 42, 59.460, 45.800
Sun Jul  2 11:36:48 EDT 2017, 0.370, 125, 26, 9, 23, 336, 1, 30, 7, 27, 0.390, 0.423
Sun Jul  2 11:36:55 EDT 2017, 0.870, 145, 21, 5, 12, 486, 10, 10, 22, 47, 7.113, 6.280
Sun Jul  2 11:38:57 EDT 2017, 0.620, 135, 23, 7, 17, 411, 15, 40, 14, 37, 121.243, 90.733
Sun Jul  2 11:38:58 EDT 2017, 0.120, 155, 28, 3, 28, 561, 5, 20, 29, 17, 1.150, 1.227
Sun Jul  2 11:39:14 EDT 2017, 0.080, 136, 25, 2, 19, 476, 14, 11, 27, 48, 15.623, 13.457
Sun Jul  2 11:39:18 EDT 2017, 0.580, 156, 20, 6, 8, 326, 5, 31, 12, 28, 3.820, 3.597
Sun Jul  2 11:39:23 EDT 2017, 0.830, 126, 23, 4, 14, 551, 10, 21, 19, 18, 5.383, 5.133
Sun Jul  2 11:42:15 EDT 2017, 0.330, 146, 28, 8, 25, 401, 19, 41, 4, 38, 171.280, 126.517
Sun Jul  2 11:42:26 EDT 2017, 0.460, 121, 21, 3, 17, 439, 12, 36, 23, 13, 10.990, 9.413
Sun Jul  2 11:42:28 EDT 2017, 0.960, 141, 26, 7, 28, 589, 3, 16, 8, 33, 1.147, 1.147
Sun Jul  2 11:43:07 EDT 2017, 0.710, 131, 29, 5, 22, 364, 7, 46, 15, 43, 39.333, 30.753
Sun Jul  2 11:43:32 EDT 2017, 0.210, 151, 24, 9, 11, 514, 17, 26, 0, 23, 24.930, 20.423
Sun Jul  2 11:47:30 EDT 2017, 0.150, 128, 28, 7, 10, 495, 13, 48, 25, 46, 236.313, 174.193
Sun Jul  2 11:47:32 EDT 2017, 0.650, 148, 23, 3, 21, 345, 4, 28, 10, 26, 2.183, 2.110
Sun Jul  2 11:47:40 EDT 2017, 0.900, 138, 21, 9, 26, 570, 8, 38, 17, 16, 7.683, 7.163
Sun Jul  2 11:48:07 EDT 2017, 0.400, 158, 26, 5, 15, 420, 18, 18, 2, 36, 26.667, 21.813
Sun Jul  2 11:48:09 EDT 2017, 0.270, 133, 24, 6, 29, 383, 11, 23, 28, 11, 1.843, 1.947
Sun Jul  2 11:48:10 EDT 2017, 0.770, 153, 29, 2, 18, 533, 1, 43, 13, 31, 0.937, 0.970
Sun Jul  2 11:48:12 EDT 2017, 0.520, 123, 27, 8, 13, 308, 6, 13, 21, 41, 2.000, 1.980
Sun Jul  2 11:48:46 EDT 2017, 0.020, 143, 22, 4, 24, 458, 16, 33, 6, 21, 33.977, 27.043
Sun Jul  2 11:48:51 EDT 2017, 0.010, 127, 27, 3, 13, 512, 2, 42, 15, 42, 4.583, 4.343
Sun Jul  2 11:48:57 EDT 2017, 0.510, 147, 22, 7, 24, 362, 11, 22, 0, 22, 5.747, 5.183
Sun Jul  2 11:49:10 EDT 2017, 0.760, 137, 24, 5, 19, 587, 16, 32, 23, 12, 12.893, 11.090
Sun Jul  2 11:49:12 EDT 2017, 0.260, 157, 29, 9, 8, 437, 7, 12, 8, 32, 1.507, 1.587
Sun Jul  2 11:49:13 EDT 2017, 0.390, 132, 21, 2, 21, 399, 4, 27, 19, 17, 1.167, 1.250
Sun Jul  2 11:52:04 EDT 2017, 0.890, 152, 26, 6, 10, 549, 14, 47, 4, 37, 169.473, 125.460
Sun Jul  2 11:52:45 EDT 2017, 0.640, 122, 28, 4, 16, 324, 18, 17, 26, 47, 41.523, 32.267
Sun Jul  2 11:53:06 EDT 2017, 0.140, 142, 23, 8, 27, 474, 9, 37, 11, 27, 20.837, 17.257
Sun Jul  2 11:53:07 EDT 2017, 0.200, 135, 29, 6, 25, 455, 1, 19, 21, 44, 0.763, 0.583
Sun Jul  2 11:53:23 EDT 2017, 0.700, 155, 24, 2, 14, 305, 10, 39, 6, 24, 15.360, 12.580
Sun Jul  2 11:53:35 EDT 2017, 0.950, 125, 21, 8, 9, 530, 15, 29, 28, 14, 12.200, 10.570
Sun Jul  2 11:53:50 EDT 2017, 0.450, 145, 26, 4, 20, 380, 5, 49, 13, 34, 14.923, 12.603
