# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Mon Jan  9 12:55:23 EST 2017, 9062, 0.220, 3, 0.850, 372, 63, 17, 41, 13, 19.230, 18.490
Mon Jan  9 12:55:33 EST 2017, 4112, 0.720, 7, 0.350, 522, 18, 7, 16, 58, 9.467, 8.883
Mon Jan  9 12:55:36 EST 2017, 2874, 0.090, 2, 0.730, 335, 29, 5, 10, 47, 3.247, 3.083
Mon Jan  9 12:59:21 EST 2017, 7824, 0.590, 6, 0.230, 485, 74, 15, 35, 92, 220.233, 195.850
Mon Jan  9 13:00:07 EST 2017, 5349, 0.340, 8, 0.980, 560, 51, 19, 22, 25, 41.863, 36.013
Mon Jan  9 13:02:22 EST 2017, 399, 0.840, 4, 0.480, 410, 96, 10, 47, 70, 132.907, 127.137
Mon Jan  9 13:02:58 EST 2017, 322, 0.450, 9, 0.100, 492, 79, 13, 31, 18, 35.527, 33.550
Mon Jan  9 13:03:02 EST 2017, 5272, 0.950, 4, 0.600, 342, 34, 3, 6, 63, 3.750, 3.710
Mon Jan  9 13:03:29 EST 2017, 7747, 0.200, 2, 0.350, 417, 56, 8, 44, 41, 26.343, 25.557
Mon Jan  9 13:03:54 EST 2017, 2797, 0.700, 6, 0.850, 567, 11, 18, 19, 86, 25.410, 22.963
Mon Jan  9 13:03:57 EST 2017, 4034, 0.070, 3, 0.220, 379, 23, 11, 0, 29, 2.403, 1.933
