# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jun 26 19:24:52 EDT 2017, 0.660, 4, 4, 0.610, 3, 4, 17, 349, 57, 12, 14, 22, 8.333, 7.610
Mon Jun 26 19:24:53 EDT 2017, 0.160, 8, 8, 0.110, 7, 8, 62, 499, 12, 2, 39, 67, 1.143, 1.083
Mon Jun 26 19:25:35 EDT 2017, 0.220, 1, 4, 0.300, 6, 9, 90, 368, 85, 13, 42, 61, 41.687, 39.107
Mon Jun 26 19:25:36 EDT 2017, 0.720, 6, 9, 0.800, 1, 5, 45, 518, 40, 4, 17, 16, 1.343, 1.293
Mon Jun 26 19:25:47 EDT 2017, 0.970, 3, 7, 0.050, 3, 7, 23, 443, 62, 8, 30, 39, 9.977, 9.500
Mon Jun 26 19:26:25 EDT 2017, 0.470, 8, 2, 0.550, 8, 2, 68, 593, 17, 18, 5, 84, 38.163, 34.357
Mon Jun 26 19:26:35 EDT 2017, 0.350, 5, 8, 0.420, 4, 1, 79, 480, 96, 6, 36, 28, 8.857, 8.163
Mon Jun 26 19:27:11 EDT 2017, 0.850, 9, 3, 0.920, 9, 6, 34, 330, 51, 15, 11, 73, 36.157, 36.090
Mon Jun 26 19:31:21 EDT 2017, 0.600, 2, 1, 0.170, 7, 3, 11, 555, 73, 11, 48, 95, 242.150, 245.490
Mon Jun 26 19:31:23 EDT 2017, 0.100, 7, 5, 0.670, 2, 8, 56, 405, 28, 1, 23, 50, 1.293, 1.207
Mon Jun 26 19:31:30 EDT 2017, 0.070, 3, 9, 0.580, 4, 6, 54, 321, 26, 16, 0, 64, 7.500, 7.110
Mon Jun 26 19:31:39 EDT 2017, 0.570, 7, 4, 0.080, 8, 1, 99, 471, 71, 7, 25, 19, 7.797, 6.970
Mon Jun 26 19:31:44 EDT 2017, 0.820, 5, 2, 0.830, 6, 8, 76, 396, 48, 2, 13, 42, 5.530, 4.657
Mon Jun 26 19:32:51 EDT 2017, 0.320, 9, 6, 0.330, 1, 4, 31, 546, 93, 11, 38, 87, 66.230, 61.407
Mon Jun 26 19:32:53 EDT 2017, 0.440, 4, 3, 0.700, 7, 5, 42, 509, 14, 4, 19, 30, 1.917, 1.750
Mon Jun 26 19:33:20 EDT 2017, 0.940, 8, 7, 0.200, 2, 9, 87, 359, 59, 14, 44, 75, 25.773, 24.340
Mon Jun 26 19:34:11 EDT 2017, 0.690, 1, 5, 0.950, 5, 3, 65, 584, 37, 18, 6, 98, 50.500, 50.197
Mon Jun 26 19:35:12 EDT 2017, 0.190, 6, 1, 0.450, 9, 7, 20, 434, 82, 9, 31, 53, 61.313, 59.760
Mon Jun 26 19:35:19 EDT 2017, 0.130, 4, 7, 0.140, 7, 7, 48, 565, 20, 15, 34, 36, 6.190, 5.630
Mon Jun 26 19:35:53 EDT 2017, 0.630, 9, 2, 0.640, 3, 2, 93, 415, 65, 5, 9, 81, 33.640, 29.300
Mon Jun 26 19:35:56 EDT 2017, 0.880, 2, 5, 0.390, 1, 9, 71, 490, 43, 1, 47, 58, 2.653, 2.447
Mon Jun 26 19:35:59 EDT 2017, 0.380, 6, 9, 0.890, 5, 4, 26, 340, 88, 10, 22, 13, 3.493, 3.303
Mon Jun 26 19:36:13 EDT 2017, 0.250, 1, 1, 0.020, 2, 3, 37, 377, 31, 3, 41, 92, 13.293, 11.693
Mon Jun 26 19:36:44 EDT 2017, 0.750, 5, 6, 0.520, 6, 8, 82, 527, 76, 13, 16, 47, 30.587, 29.723
Mon Jun 26 19:36:51 EDT 2017, 0.500, 3, 8, 0.270, 9, 1, 59, 302, 54, 17, 28, 25, 6.390, 6.137
Mon Jun 26 19:37:44 EDT 2017, 0.000, 8, 3, 0.770, 4, 5, 14, 452, 99, 8, 3, 70, 52.563, 52.023
Mon Jun 26 19:41:03 EDT 2017, 0.010, 2, 1, 0.330, 9, 8, 66, 498, 96, 9, 19, 81, 192.923, 195.327
Mon Jun 26 19:41:18 EDT 2017, 0.510, 7, 6, 0.830, 4, 3, 21, 348, 51, 19, 44, 36, 14.113, 13.407
Mon Jun 26 19:41:25 EDT 2017, 0.760, 5, 8, 0.080, 2, 6, 43, 573, 73, 14, 6, 13, 7.100, 6.647
Mon Jun 26 19:41:32 EDT 2017, 0.260, 9, 4, 0.580, 7, 1, 88, 423, 28, 5, 31, 58, 6.387, 5.650
Mon Jun 26 19:41:48 EDT 2017, 0.380, 4, 7, 0.460, 1, 2, 55, 310, 84, 12, 0, 47, 16.203, 15.580
Mon Jun 26 19:41:58 EDT 2017, 0.880, 8, 3, 0.960, 5, 7, 10, 460, 39, 2, 25, 92, 9.103, 8.327
Mon Jun 26 19:42:15 EDT 2017, 0.630, 1, 5, 0.210, 8, 5, 32, 385, 62, 7, 12, 69, 17.090, 16.310
Mon Jun 26 19:42:19 EDT 2017, 0.130, 6, 9, 0.710, 3, 9, 77, 535, 17, 17, 37, 24, 3.047, 2.780
Mon Jun 26 19:42:29 EDT 2017, 0.200, 4, 3, 0.900, 5, 9, 72, 404, 79, 8, 40, 19, 9.773, 8.907
Mon Jun 26 19:42:50 EDT 2017, 0.700, 9, 8, 0.400, 9, 4, 27, 554, 34, 18, 15, 64, 20.973, 20.773
