# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, 2tLadderQ_timing_secs
Mon Jan  9 10:36:05 EST 2017, 3897, 0.600, 7, 0.140, 386, 34, 7, 5, 79, 12.110, 11.863
Mon Jan  9 10:36:14 EST 2017, 2659, 0.220, 4, 0.770, 573, 45, 5, 23, 22, 7.963, 7.977
Mon Jan  9 10:40:00 EST 2017, 7609, 0.720, 8, 0.270, 423, 90, 15, 48, 67, 220.447, 220.893
Mon Jan  9 10:40:14 EST 2017, 5134, 0.470, 6, 0.520, 348, 23, 19, 11, 45, 13.973, 13.667
Mon Jan  9 10:41:45 EST 2017, 184, 0.970, 2, 0.020, 498, 68, 10, 36, 90, 89.867, 88.570
Mon Jan  9 10:44:22 EST 2017, 223, 0.020, 3, 0.580, 342, 99, 16, 28, 93, 153.097, 155.090
Mon Jan  9 10:44:36 EST 2017, 5173, 0.520, 8, 0.080, 492, 54, 6, 3, 48, 12.937, 11.990
Mon Jan  9 10:45:09 EST 2017, 7648, 0.270, 6, 0.830, 567, 77, 2, 40, 71, 31.253, 31.867
Mon Jan  9 10:45:13 EST 2017, 2698, 0.770, 1, 0.330, 417, 32, 11, 15, 26, 3.983, 3.923
Mon Jan  9 10:45:44 EST 2017, 3935, 0.390, 9, 0.710, 530, 20, 18, 9, 82, 30.080, 29.997
Mon Jan  9 10:46:16 EST 2017, 8885, 0.890, 4, 0.210, 380, 65, 9, 34, 37, 31.503, 30.910
Mon Jan  9 10:46:23 EST 2017, 6410, 0.140, 2, 0.960, 305, 43, 4, 22, 59, 6.947, 6.913
Mon Jan  9 10:47:05 EST 2017, 1460, 0.640, 7, 0.460, 455, 88, 14, 47, 14, 41.503, 41.283
Mon Jan  9 10:48:16 EST 2017, 2079, 0.330, 1, 0.140, 511, 82, 15, 18, 87, 67.853, 69.370
Mon Jan  9 10:48:30 EST 2017, 7029, 0.830, 5, 0.640, 361, 37, 5, 43, 42, 13.397, 13.513
Mon Jan  9 10:48:35 EST 2017, 9504, 0.080, 7, 0.390, 436, 60, 1, 6, 65, 3.767, 4.147
Mon Jan  9 10:48:40 EST 2017, 4554, 0.580, 3, 0.890, 586, 15, 10, 31, 20, 5.437, 5.433
Mon Jan  9 10:49:58 EST 2017, 3317, 0.200, 6, 0.020, 399, 26, 17, 37, 99, 77.073, 76.460
Mon Jan  9 10:50:25 EST 2017, 8267, 0.700, 2, 0.520, 549, 71, 8, 12, 54, 26.193, 26.393
Mon Jan  9 10:50:43 EST 2017, 5792, 0.450, 4, 0.270, 474, 49, 3, 25, 76, 17.627, 17.650
Mon Jan  9 10:50:57 EST 2017, 842, 0.950, 8, 0.770, 324, 94, 12, 0, 31, 13.773, 13.083
Mon Jan  9 10:51:08 EST 2017, 1151, 0.480, 5, 0.990, 427, 68, 7, 14, 23, 10.510, 10.357
Mon Jan  9 10:51:38 EST 2017, 6101, 0.980, 1, 0.490, 577, 23, 17, 39, 68, 29.803, 29.297
