# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Fri Jul  7 23:40:14 EDT 2017, 0.190, 144, 20, 5, 29, 518, 3, 27, 24, 27, 1.280, 1.237
Fri Jul  7 23:45:20 EDT 2017, 0.130, 136, 27, 3, 25, 500, 9, 45, 3, 40, 1.840, 1.830
Fri Jul  7 23:50:27 EDT 2017, 0.630, 156, 22, 7, 14, 350, 18, 25, 18, 20, 1.570, 1.523
Fri Jul  7 23:55:39 EDT 2017, 0.880, 126, 24, 5, 8, 575, 13, 35, 11, 10, 1.350, 1.443
Sat Jul  8 00:00:11 EDT 2017, 0.380, 146, 29, 9, 19, 425, 4, 15, 26, 30, 1.207, 1.253
Sat Jul  8 00:05:13 EDT 2017, 0.250, 121, 20, 2, 11, 387, 6, 20, 7, 15, 1.277, 1.260
Sat Jul  8 00:10:20 EDT 2017, 0.750, 141, 25, 6, 22, 537, 16, 40, 22, 35, 3.250, 3.517
Sat Jul  8 00:15:36 EDT 2017, 0.500, 131, 28, 4, 27, 312, 11, 10, 14, 45, 1.237, 1.253
Sat Jul  8 00:20:28 EDT 2017, 0.000, 151, 23, 8, 16, 462, 2, 30, 29, 25, 1.247, 1.230
Sat Jul  8 00:25:34 EDT 2017, 0.010, 128, 21, 4, 28, 548, 12, 36, 28, 28, 1.563, 1.647
Sat Jul  8 00:30:11 EDT 2017, 0.510, 148, 26, 8, 17, 398, 3, 16, 13, 48, 1.233, 1.240
Sat Jul  8 00:35:18 EDT 2017, 0.760, 138, 28, 2, 11, 473, 8, 46, 21, 38, 2.167, 2.143
Sat Jul  8 00:40:19 EDT 2017, 0.260, 158, 23, 6, 22, 323, 17, 26, 6, 18, 1.340, 1.227
Sat Jul  8 00:45:26 EDT 2017, 0.380, 133, 27, 5, 8, 360, 10, 11, 24, 33, 1.247, 1.257
Sat Jul  8 00:50:28 EDT 2017, 0.880, 153, 22, 9, 19, 510, 1, 31, 9, 13, 1.150, 1.130
Sat Jul  8 00:55:34 EDT 2017, 0.630, 123, 24, 3, 25, 435, 5, 21, 17, 23, 1.303, 1.260
Sat Jul  8 01:00:11 EDT 2017, 0.130, 143, 29, 7, 14, 585, 15, 41, 2, 43, 2.420, 2.413
Sat Jul  8 01:05:18 EDT 2017, 0.200, 135, 22, 9, 18, 567, 14, 23, 23, 26, 1.560, 1.553
Sat Jul  8 01:10:20 EDT 2017, 0.700, 155, 27, 5, 29, 417, 4, 43, 8, 46, 1.450, 1.560
Sat Jul  8 01:15:26 EDT 2017, 0.950, 125, 25, 7, 24, 492, 9, 13, 15, 36, 1.247, 1.223
Sat Jul  8 01:20:28 EDT 2017, 0.450, 145, 20, 3, 13, 342, 18, 33, 0, 16, 1.543, 1.503
Sat Jul  8 01:25:35 EDT 2017, 0.320, 120, 29, 8, 21, 304, 11, 48, 26, 31, 1.573, 1.560
Sat Jul  8 01:30:11 EDT 2017, 0.820, 140, 24, 4, 10, 454, 2, 28, 11, 11, 1.113, 1.123
Sat Jul  8 01:35:13 EDT 2017, 0.570, 130, 21, 6, 15, 379, 6, 38, 19, 21, 1.257, 1.253
Sat Jul  8 01:40:20 EDT 2017, 0.070, 150, 26, 2, 26, 529, 16, 18, 4, 41, 1.757, 1.740
Sat Jul  8 01:45:23 EDT 2017, 0.100, 132, 27, 3, 22, 463, 4, 27, 7, 12, 1.227, 1.243
Sat Jul  8 01:58:42 EDT 2017, 0.600, 152, 22, 7, 11, 313, 13, 47, 22, 32, 2.050, 1.997
Sat Jul  8 02:03:08 EDT 2017, 0.850, 122, 20, 5, 16, 538, 18, 17, 14, 42, 2.543, 2.810
Sat Jul  8 02:08:25 EDT 2017, 0.350, 142, 25, 9, 27, 388, 8, 37, 29, 22, 1.497, 1.230
Sat Jul  8 02:17:49 EDT 2017, 0.480, 127, 23, 2, 13, 426, 1, 42, 3, 47, 1.237, 1.223
Sat Jul  8 02:27:07 EDT 2017, 0.980, 147, 28, 6, 24, 576, 11, 22, 18, 27, 300.000, 300.000
Sat Jul  8 02:31:08 EDT 2017, 0.730, 137, 26, 4, 19, 351, 15, 32, 10, 17, 1.437, 1.397
Sat Jul  8 02:36:15 EDT 2017, 0.230, 157, 21, 8, 8, 501, 6, 12, 25, 37, 1.223, 1.223
